,id,degreeType,major,earlyCareerMedianPay,midCareerMedianPay,fiveToTenYearMedianPay,tenToTwentyYearMedianPay,twentyPlusYearMedianPay,percentHighMeaning,year,url,rank,tie
764,4160,Bachelors,Psychology & Human Services,35600,59400,,,,,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Psychology_%26_Human_Services/Salary,764,True
765,4161,Bachelors,Athletic Training,42100,59300,47400.0,58200.0,62000.0,0.75,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Athletic_Training/Salary,766,False
766,4162,Bachelors,Biblical Studies,40500,59000,46700.0,55800.0,66900.0,0.72,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Biblical_Studies/Salary,767,False
767,4163,Bachelors,Biblical Studies & Practical Ministries,36400,58900,48100.0,58000.0,59300.0,0.76,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Biblical_Studies_%26_Practical_Ministries/Salary,768,True
768,4164,Bachelors,Counseling Psychology,42700,58900,46300.0,57500.0,63600.0,0.64,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Counseling_Psychology/Salary,768,True
769,4165,Bachelors,Recreational Studies,42100,58900,48300.0,58100.0,,0.69,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Recreational_Studies/Salary,768,True
770,4166,Bachelors,Teaching,42000,58900,46000.0,53300.0,63800.0,0.72,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Teaching/Salary,768,True
771,4167,Bachelors,Home Economics,41800,58700,48400.0,57500.0,60500.0,0.69,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Home_Economics/Salary,772,True
772,4168,Bachelors,Library & Information Science,48200,58700,51800.0,54100.0,58700.0,0.48,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Library_%26_Information_Science/Salary,772,True
773,4183,Bachelors,Human Development & Family Studies,40300,58600,47700.0,56600.0,62800.0,0.66,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Human_Development_%26_Family_Studies/Salary,774,True
774,4196,Bachelors,Tourism & Travel,42200,58600,51800.0,58700.0,,0.43,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Tourism_%26_Travel/Salary,774,True
775,4197,Bachelors,Landscape Design,49000,58500,51300.0,52000.0,68700.0,0.63,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Landscape_Design/Salary,776,False
776,4198,Bachelors,Ceramics,42200,58300,48500.0,52800.0,,0.51,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Ceramics/Salary,777,True
777,4225,Bachelors,Clinical Social Work (CSW),43500,58300,,56300.0,,,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Clinical_Social_Work_(CSW)/Salary,777,True
778,4226,Bachelors,Parks & Recreation Management,42700,58300,52100.0,55700.0,62100.0,0.56,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Parks_%26_Recreation_Management/Salary,777,True
779,4227,Bachelors,Pastoral Ministry,38700,58000,49000.0,56700.0,63500.0,0.83,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Pastoral_Ministry/Salary,780,True
780,4228,Bachelors,Vocal Performance,42600,58000,53500.0,57500.0,60200.0,0.65,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Vocal_Performance/Salary,780,True
781,4229,Bachelors,Art Teacher Education,40300,57500,48800.0,51800.0,67000.0,0.62,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Art_Teacher_Education/Salary,782,True
782,4230,Bachelors,Bible Studies & Theology,40000,57500,48200.0,56700.0,61100.0,0.67,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Bible_Studies_%26_Theology/Salary,782,True
783,4231,Bachelors,Forensic Accounting,48300,57200,58200.0,,,0.48,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Forensic_Accounting/Salary,784,False
784,4232,Bachelors,Communication Sciences & Disorders,43300,57100,48700.0,53000.0,68900.0,0.76,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Communication_Sciences_%26_Disorders/Salary,785,True
785,4233,Bachelors,Legal Assistant Studies,38100,57100,,58400.0,,0.38,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Legal_Assistant_Studies/Salary,785,True
786,4234,Bachelors,Special Education,41300,57000,45400.0,51600.0,62500.0,0.76,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Special_Education/Salary,787,False
787,4236,Bachelors,Conservation Biology,42800,56900,53700.0,54100.0,,0.57,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Conservation_Biology/Salary,788,False
788,4247,Bachelors,Family Studies,39200,56800,49400.0,57100.0,,0.68,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Family_Studies/Salary,789,False
789,4237,Bachelors,Christian Ministry,38100,56400,44900.0,52800.0,63700.0,0.79,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Christian_Ministry/Salary,790,True
790,4238,Bachelors,Speech & Hearing,43300,56400,55800.0,56900.0,,0.76,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Speech_%26_Hearing/Salary,790,True
791,4239,Bachelors,Health and Human Services,43500,56300,46700.0,56000.0,,0.65,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Health_and_Human_Services/Salary,792,False
792,4240,Bachelors,Musical Theatre,43500,56100,53300.0,58000.0,,0.5,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Musical_Theatre/Salary,793,False
793,4241,Bachelors,History Teacher Education,47700,55600,49200.0,54700.0,,0.46,2021,/research/US/Degree=Bachelor%27s_Degree%2C_History_Teacher_Education/Salary,794,False
794,4242,Bachelors,Developmental Psychology,38200,55000,,,,,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Developmental_Psychology/Salary,795,False
795,4243,Bachelors,Therapeutic Recreation,39500,54900,46200.0,53500.0,58200.0,0.82,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Therapeutic_Recreation/Salary,796,False
796,4244,Bachelors,Applied Behavioral Science,40500,54600,43800.0,50000.0,,0.5,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Applied_Behavioral_Science/Salary,797,True
797,4245,Bachelors,Community & Human Services,42400,54600,47300.0,51000.0,55600.0,0.8,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Community_%26_Human_Services/Salary,797,True
798,4246,Bachelors,Social Work (SW),38600,54600,45700.0,51700.0,59900.0,0.76,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Social_Work_(SW)/Salary,797,True
799,4224,Bachelors,Office Administration,38700,54500,47600.0,50300.0,58200.0,0.65,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Office_Administration/Salary,800,False
800,4223,Bachelors,Ministry,36700,54300,43100.0,47800.0,62800.0,0.81,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Ministry/Salary,801,True
801,4235,Bachelors,Family & Community Services,42200,54300,49700.0,,,0.74,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Family_%26_Community_Services/Salary,801,True
